hour,total_liq_usd,liq_count,long_liqs,short_liqs
2026-02-08 00:00:00,36801511.7077,289,146,143
2026-02-08 01:00:00,16397823.6915,71,28,43
2026-02-08 02:00:00,39807900.6002,175,93,82
2026-02-08 03:00:00,29597579.259,120,65,55
2026-02-08 04:00:00,7930023.8697999995,76,38,38
2026-02-08 05:00:00,21079360.331299998,38,18,20
2026-02-08 06:00:00,7861935.4793,26,14,12
2026-02-08 07:00:00,16527954.2022,61,17,44
2026-02-08 08:00:00,190184420.3886,954,303,651
2026-02-08 09:00:00,47393559.509,175,95,80
2026-02-08 10:00:00,166913042.2034,1056,530,526
2026-02-08 11:00:00,134174974.1596,702,270,432
2026-02-08 12:00:00,80547011.1687,563,168,395
2026-02-08 13:00:00,72587280.1859,392,214,178
2026-02-08 14:00:00,41730927.9323,130,56,74
2026-02-08 15:00:00,59963316.9308,444,197,247
2026-02-08 16:00:00,72213391.1948,520,314,206
2026-02-08 17:00:00,36118121.0299,216,108,108
2026-02-08 18:00:00,45667772.6881,321,108,213
2026-02-08 19:00:00,17149584.6565,69,35,34
2026-02-08 20:00:00,40602306.5841,357,169,188
2026-02-08 21:00:00,21648774.6716,167,87,80
2026-02-08 22:00:00,16993337.9498,87,39,48
2026-02-08 23:00:00,451521230.0765,2045,969,1076
