date,open,high,low,close,volume
2020-01-06,815000,844900,813500,841539,
2020-01-07,841539,888759,839000,883413,
2020-01-08,882100,914564,859770,877290,
2020-01-09,877290,877947,848000,854944,
2020-01-10,854944,895859,840010,895000,
2020-01-11,895000,902444,874501,875808,
2020-01-12,875339,892959,870500,892350,
2020-01-13,893000,893620,881900,887538,
2020-01-14,887538,970000,887400,965570,
2020-01-15,965570,975000,939000,964324,
2020-01-16,964324,968750,943000,958730,
2020-01-17,958730,990001,954290,980172,
2020-01-18,980172,987152,970996,981000,
2020-01-19,981000,1009500,940000,957977,
2020-01-20,957880,961898,938020,950811,
2020-01-21,950811,960000,933333,957629,
2020-01-22,957629,967075,943000,950633,
2020-01-23,950633,951950,906220,918822,
2020-01-24,918822,931120,901240,921808,
2020-01-25,921808,922390,903636,911012,
2020-01-26,911000,938745,907000,935530,
2020-01-27,936240,978949,935310,969060,
2020-01-28,969060,1023558,969060,1022498,
2020-01-29,1022498,1025267,1006500,1011955,
2020-01-30,1011955,1036478,1001346,1031610,
2020-01-31,1031610,1032279,1003000,1013000,
2020-02-01,1013273,1023948,1007302,1015630,
2020-02-02,1015630,1025000,995050,1010417,
2020-02-03,1010175,1040000,1003606,1008555,
2020-02-04,1008820,1015000,991660,1003300,
2020-02-05,1003300,1068940,1001211,1053671,
2020-02-06,1053671,1083148,1046690,1070900,
2020-02-07,1070910,1083970,1067450,1076391,
2020-02-08,1076199,1090499,1061000,1086240,
2020-02-09,1086240,1113500,1085400,1110989,
2020-02-10,1110975,1116500,1073000,1081510,
2020-02-11,1081510,1133333,1066002,1123524,
2020-02-12,1123524,1149999,1123524,1136950,
2020-02-13,1136950,1150408,1106170,1124591,
2020-02-14,1124591,1139700,1110166,1137555,
2020-02-15,1137555,1140467,1080430,1087798,
2020-02-16,1087798,1104590,1066000,1091898,
2020-02-17,1091360,1099200,1042270,1066553,
2020-02-18,1066850,1129629,1055815,1118700,
2020-02-19,1118807,1141950,1054000,1068393,
2020-02-20,1067343,1085000,1052610,1076399,
2020-02-21,1075610,1093579,1072470,1082615,
2020-02-22,1082615,1085398,1069285,1078573,
2020-02-23,1078573,1115555,1078000,1111020,
2020-02-24,1111020,1117210,1050000,1071701,
2020-02-25,1071701,1072942,1020000,1027477,
2020-02-26,1027477,1033310,955000,969750,
2020-02-27,970306,987900,938765,965988,
2020-02-28,965988,973740,917640,941169,
2020-02-29,941169,951989,923170,923474,
2020-03-01,923395,946998,915130,921118,
2020-03-02,920400,973530,917281,968732,
2020-03-03,968732,969894,931421,938769,
2020-03-04,938769,953477,932778,944324,
2020-03-05,944324,979510,944324,963345,
2020-03-06,963433,970922,952850,966010,
2020-03-07,966010,971859,935717,940979,
2020-03-08,940979,940979,835490,837969,
2020-03-09,837484,852920,784400,820200,
2020-03-10,820583,857021,805272,830836,
2020-03-11,831329,838730,797280,832286,
2020-03-12,832286,835000,602121,651501,
2020-03-14,590532,602557,555000,565780,
2020-03-15,565722,643017,559983,582228,
2020-03-16,582013,582781,507474,547089,
2020-03-17,547160,601010,535794,579625,
2020-03-18,579625,589000,546370,588404,
2020-03-19,588404,716112,576470,693340,
2020-03-20,692529,763284,644436,692303,
2020-03-21,690005,715365,656211,688593,
2020-03-22,688958,711297,644493,646960,
2020-03-23,647261,725490,635574,720678,
2020-03-24,719267,758281,706009,753110,
2020-03-25,752500,776066,722620,741996,
2020-03-26,741720,752853,717570,738263,
2020-03-27,737681,749229,683311,691089,
2020-03-28,690539,690999,658938,677603,
2020-03-29,677000,679311,634529,634529,
2020-03-30,634168,714000,632736,692610,
2020-03-31,693221,709000,689757,692067,
2020-04-01,691824,717947,663000,714000,
2020-04-02,714987,777777,707546,736000,
2020-04-03,735176,765000,718890,732857,
2020-04-04,732900,756448,725802,745621,
2020-04-05,746176,749000,727004,737152,
2020-04-06,737468,801508,737043,801098,
2020-04-07,801357,813938,772756,784725,
2020-04-08,784414,808888,778748,803380,
2020-04-09,803139,804350,777777,794061,
2020-04-10,793267,794502,735500,747000,
2020-04-11,746887,757646,737500,749585,
2020-04-12,749585,784000,739552,751793,
2020-04-13,751793,751793,717400,739995,
2020-04-14,739986,749995,730932,738217,
2020-04-15,738259,744500,711529,714045,
2020-04-16,713829,777600,700000,768483,
2020-04-17,768443,772398,753459,757810,
2020-04-18,758043,784380,756789,781404,
2020-04-19,781254,782935,761633,768580,
2020-04-20,768200,779706,730205,737871,
2020-04-21,738350,750719,732463,740348,
2020-04-22,740881,773360,738000,768995,
2020-04-23,764668,826000,764482,804985,
2020-04-24,805725,820000,798000,808353,
2020-04-25,808353,826520,802196,813203,
2020-04-26,813011,829880,811118,828117,
2020-04-27,828940,838502,821172,836500,
2020-04-28,836500,837020,824381,830151,
2020-04-29,829395,959174,825413,937254,
2020-04-30,937577,1008297,900925,927277,
2020-05-01,926749,971767,926000,945637,
2020-05-02,946265,966172,940080,962404,
2020-05-03,962121,983500,937802,952702,
2020-05-04,952856,958320,913571,950000,
2020-05-05,949894,972550,940972,963000,
2020-05-06,962100,997050,950903,975230,
2020-05-07,974518,1071753,964114,1064297,
2020-05-08,1065810,1069746,1036450,1048501,
2020-05-09,1048000,1057963,1016500,1017060,
2020-05-10,1017000,1019999,880195,936513,
2020-05-11,934350,984687,885038,927242,
2020-05-12,922489,963600,920739,946524,
2020-05-13,945875,1007613,944270,996140,
2020-05-14,997533,1062990,992000,1050665,
2020-05-15,1051000,1056043,980622,996806,
2020-05-16,996901,1027258,987521,1005160,
2020-05-17,1005016,1057274,1000014,1037658,
2020-05-18,1037658,1065000,1021597,1043612,
2020-05-19,1044362,1063896,1018850,1054445,
2020-05-20,1053361,1059000,1003897,1025000,
2020-05-21,1025000,1031216,950004,974241,
2020-05-22,977238,997048,962054,988618,
2020-05-23,988518,1004650,980002,988442,
2020-05-24,988442,1002393,941904,942585,
2020-05-25,941326,968184,935333,960276,
2020-05-26,960276,971663,938000,951500,
2020-05-27,951651,993408,949044,991666,
2020-05-28,992287,1034800,982500,1030567,
2020-05-29,1031382,1033649,1002501,1016043,
2020-05-30,1016000,1047454,1007500,1044100,
2020-05-31,1044454,1044888,1013201,1018411,
2020-06-01,1017708,1104484,1014541,1096542,
2020-06-02,1096014,1103500,1016000,1037492,
2020-06-03,1036500,1055392,1024058,1054000,
2020-06-04,1054000,1076999,1031001,1068556,
2020-06-05,1068556,1076510,1050883,1055001,
2020-06-06,1055001,1066674,1045000,1060890,
2020-06-07,1060890,1073500,1034063,1068671,
2020-06-08,1068671,1072000,1048789,1061999,
2020-06-09,1061999,1069997,1040213,1055000,
2020-06-10,1055683,1068000,1043124,1058435,
2020-06-11,1059006,1066207,977777,991979,
2020-06-12,991979,1027502,988888,1019130,
2020-06-13,1019130,1020339,1006675,1018635,
2020-06-14,1018635,1019630,996366,1002600,
2020-06-15,1002600,1019478,956000,1014726,
2020-06-16,1014726,1030900,1008498,1023100,
2020-06-17,1023100,1026394,990383,1012444,
2020-06-18,1012444,1015020,993531,1004324,
2020-06-19,1004324,1009599,988670,996198,
2020-06-20,996198,1005925,985000,1001500,
2020-06-21,1001500,1007940,992012,993100,
2020-06-22,993100,1044112,990581,1035188,
2020-06-23,1035188,1039922,1021870,1024910,
2020-06-24,1024910,1030569,985259,996110,
2020-06-25,996110,1001171,965280,991379,
2020-06-26,991379,997098,970000,983990,
2020-06-27,983990,988022,951200,969100,
2020-06-28,969100,988162,962500,978725,
2020-06-29,979187,993721,970500,989867,
2020-06-30,990150,992533,977904,987501,
2020-07-01,987501,999900,982423,992614,
2020-07-02,992614,997481,965320,979088,
2020-07-03,979088,983923,974236,976000,
2020-07-04,976000,989611,974239,983699,
2020-07-05,983699,984000,962739,977116,
2020-07-06,977116,1005000,976356,1003670,
2020-07-07,1003420,1006460,991324,996689,
2020-07-08,996682,1018000,994645,1012852,
2020-07-09,1012852,1013375,984180,991400,
2020-07-10,991400,996000,977666,993856,
2020-07-11,994063,994970,983623,988877,
2020-07-12,988877,998300,981320,994403,
2020-07-13,994403,1000700,988544,991999,
2020-07-14,991999,995162,981998,992629,
2020-07-15,992629,994611,982034,984953,
2020-07-16,984953,987838,970378,981001,
2020-07-17,981001,986118,975800,981400,
2020-07-18,981400,986765,979000,983008,
2020-07-19,983008,988480,977534,987320,
2020-07-20,987709,988515,981300,983258,
2020-07-21,983258,1010600,982666,1003851,
2020-07-22,1003851,1025255,995631,1021745,
2020-07-23,1021745,1028000,1015000,1027000,
2020-07-24,1026771,1026802,1007820,1014790,
2020-07-25,1014790,1034000,1013298,1030800,
2020-07-26,1030800,1074270,1025250,1052800,
2020-07-27,1052800,1196919,1052064,1161005,
2020-07-28,1161792,1183999,1114766,1148483,
2020-07-29,1148483,1189512,1141600,1167267,
2020-07-30,1167267,1170862,1143913,1162795,
2020-07-31,1162795,1214378,1148467,1201369,
2020-08-01,1201369,1258888,1190958,1253271,
2020-08-02,1253271,1286190,1163910,1174208,
2020-08-03,1174208,1219440,1165449,1192787,
2020-08-04,1192124,1212000,1174115,1184018,
2020-08-05,1184018,1245222,1176312,1241698,
2020-08-06,1241698,1257081,1223589,1244183,
2020-08-07,1244183,1257658,1205397,1232000,
2020-08-08,1232000,1252782,1225747,1248210,
2020-08-09,1247789,1250600,1224946,1238888,
2020-08-10,1238888,1276860,1231675,1261304,
2020-08-11,1261304,1266253,1190380,1216669,
2020-08-12,1216250,1243842,1196523,1237245,
2020-08-13,1237245,1260576,1207904,1260576,
2020-08-14,1260621,1266200,1244495,1256372,
2020-08-15,1256372,1276000,1255443,1264963,
2020-08-16,1264963,1271800,1251292,1269993,
2020-08-17,1269993,1320000,1256120,1305300,
2020-08-18,1305300,1311577,1255000,1261745,
2020-08-19,1261745,1266861,1229117,1249355,
2020-08-20,1249355,1258769,1241202,1254681,
2020-08-21,1254646,1257319,1218439,1222031,
2020-08-22,1222031,1238663,1205000,1237485,
2020-08-23,1237485,1240796,1222629,1235514,
2020-08-24,1235514,1251325,1228500,1246899,
2020-08-25,1246899,1248241,1187708,1208500,
2020-08-26,1208500,1222106,1199010,1216528,
2020-08-27,1216528,1226364,1190201,1209211,
2020-08-28,1210000,1219291,1204321,1215522,
2020-08-29,1215148,1222000,1209636,1213351,
2020-08-30,1212510,1238000,1212322,1237375,
2020-08-31,1237375,1250356,1228131,1238000,
2020-09-01,1238000,1276998,1227634,1264036,
2020-09-02,1264036,1266281,1196000,1214808,
2020-09-03,1213817,1218877,1072841,1080764,
2020-09-04,1081385,1132218,1073410,1116228,
2020-09-05,1116228,1125681,1052010,1081637,
2020-09-06,1081637,1102361,1066785,1093172,
2020-09-07,1093172,1106887,1053520,1104509,
2020-09-08,1104509,1110588,1047994,1074006,
2020-09-09,1074006,1098280,1059440,1087081,
2020-09-10,1087080,1112940,1086915,1099446,
2020-09-11,1099709,1105000,1086510,1103947,
2020-09-12,1103947,1113555,1093750,1110235,
2020-09-13,1110235,1123833,1088235,1098495,
2020-09-14,1098495,1137000,1090200,1129458,
2020-09-15,1129458,1153854,1125973,1138456,
2020-09-16,1138456,1164220,1126192,1152172,
2020-09-17,1152172,1160990,1126785,1147388,
2020-09-18,1146789,1152547,1132536,1144683,
2020-09-19,1144683,1166623,1141500,1159267,
2020-09-20,1159267,1159267,1129837,1142239,
2020-09-21,1142239,1148000,1081190,1091082,
2020-09-22,1091082,1110266,1085662,1106570,
2020-09-23,1106570,1108703,1070260,1078788,
2020-09-24,1078788,1137190,1075908,1132018,
2020-09-25,1132018,1136300,1114151,1129490,
2020-09-26,1129490,1140965,1126304,1134774,
2020-09-27,1134774,1141949,1120900,1138923,
2020-09-28,1138923,1155570,1127118,1128478,
2020-09-29,1128478,1147626,1125497,1146293,
2020-09-30,1146293,1147024,1127872,1137292,
2020-10-01,1137292,1151644,1106242,1122000,
2020-10-02,1121999,1126769,1094931,1114512,
2020-10-03,1114512,1117000,1107267,1112500,
2020-10-04,1112500,1128269,1110450,1127500,
2020-10-05,1127500,1141000,1122933,1141000,
2020-10-06,1141000,1141892,1113464,1121836,
2020-10-07,1121836,1132400,1116251,1131100,
2020-10-08,1131100,1158640,1118076,1157278,
2020-10-09,1157278,1175330,1148162,1168819,
2020-10-10,1168815,1209430,1168815,1193168,
2020-10-11,1192637,1206209,1191500,1200341,
2020-10-12,1200341,1234348,1184824,1215729,
2020-10-13,1215517,1218291,1194666,1204407,
2020-10-14,1204407,1213857,1188080,1200316,
2020-10-15,1200316,1220942,1189150,1212122,
2020-10-16,1212122,1215152,1182197,1194529,
2020-10-17,1194351,1201478,1189504,1197535,
2020-10-18,1196998,1213727,1196385,1213557,
2020-10-19,1213571,1243757,1203001,1237405,
2020-10-20,1237405,1269123,1233500,1256584,
2020-10-21,1256584,1382387,1254500,1340410,
2020-10-22,1340410,1380290,1326978,1357938,
2020-10-23,1357938,1364440,1336000,1354399,
2020-10-24,1354278,1376005,1349000,1371544,
2020-10-25,1371544,1395000,1352347,1364513,
2020-10-26,1364513,1388224,1343000,1369830,
2020-10-27,1369830,1440001,1368074,1425690,
2020-10-28,1425690,1444640,1348785,1387544,
2020-10-29,1387544,1427000,1354629,1406387,
2020-10-30,1406387,1429340,1372440,1419400,
2020-10-31,1419400,1468484,1405499,1444796,
2020-11-01,1444181,1454199,1429097,1440440,
2020-11-02,1441000,1449069,1387250,1420894,
2020-11-03,1420893,1469352,1394847,1464000,
2020-11-04,1464000,1488484,1424049,1477239,
2020-11-05,1477239,1633971,1470544,1618413,
2020-11-06,1618520,1658298,1572425,1610001,
2020-11-07,1611191,1626939,1484933,1533211,
2020-11-08,1533354,1617499,1522744,1598834,
2020-11-09,1598834,1643137,1570055,1611570,
2020-11-10,1611928,1625375,1590560,1610899,
2020-11-11,1610899,1675000,1608376,1654168,
2020-11-12,1654168,1715753,1635601,1712447,
2020-11-13,1712114,1730809,1673599,1709518,
2020-11-14,1709518,1709518,1651012,1685924,
2020-11-15,1685924,1690000,1654814,1672023,
2020-11-16,1672849,1763369,1664441,1747522,
2020-11-17,1747522,1859614,1731889,1841189,
2020-11-18,1841189,1925535,1792758,1848331,
2020-11-19,1848331,1888590,1809622,1849940,
2020-11-20,1849940,1951512,1845000,1939507,
2020-11-21,1939124,1971962,1917522,1945098,
2020-11-22,1945098,1948590,1830358,1912616,
2020-11-23,1911568,1942300,1867656,1914938,
2020-11-24,1914000,1987827,1884864,1960390,
2020-11-25,1960390,1995655,1937000,1952334,
2020-11-26,1953000,1970382,1698047,1788077,
2020-11-27,1788077,1817801,1715000,1784100,
2020-11-28,1784100,1861000,1758716,1846869,
2020-11-29,1846869,1905200,1828100,1893175,
2020-11-30,1893175,2057871,1893175,2045665,
2020-12-01,2045665,2075000,1896001,1960119,
2020-12-02,1960119,2019939,1915910,2005987,
2020-12-03,2005987,2030500,1975675,2018000,
2020-12-04,2018000,2025145,1940000,1947001,
2020-12-05,1947001,1999224,1932135,1995555,
2020-12-06,1995555,2020201,1971736,2017360,
2020-12-07,2017360,2022050,1971969,1997150,
2020-12-08,1997150,2006999,1901208,1911000,
2020-12-09,1911000,1946810,1839123,1936500,
2020-12-10,1936500,1937396,1868360,1899694,
2020-12-11,1899694,1902952,1831992,1875668,
2020-12-12,1875668,1966527,1875668,1957880,
2020-12-13,1957880,2013654,1947898,1988187,
2020-12-14,1988187,2007500,1975481,1999890,
2020-12-15,2000099,2030000,1986380,2011544,
2020-12-16,2011544,2221929,2000436,2205000,
2020-12-17,2204169,2454487,2198774,2347031,
2020-12-18,2345936,2400687,2314444,2384389,
2020-12-19,2384389,2492063,2356232,2463470,
2020-12-20,2463470,2497999,2387990,2431406,
2020-12-21,2430772,2488093,2288071,2351534,
2020-12-22,2352054,2465008,2316844,2463800,
2020-12-23,2464727,2484683,2348531,2404487,
2020-12-24,2402890,2462164,2353628,2456106,
2020-12-25,2455575,2552295,2425230,2550404,
2020-12-26,2549805,2774619,2535476,2744500,
2020-12-27,2744909,2942958,2671023,2720240,
2020-12-28,2720240,2838169,2708200,2805000,
2020-12-29,2805138,2829790,2691402,2827954,
2020-12-30,2827970,2967106,2827970,2958167,
2020-12-31,2957123,2995000,2868835,2968795,
2021-01-01,2968795,3032000,2955556,3010800,
2021-01-02,3010042,3402000,2988000,3317996,
2021-01-03,3318029,3582665,3299934,3408276,
2021-01-04,3410000,3463749,2887090,3292693,
2021-01-05,3292693,3499990,3085351,3470021,
2021-01-06,3470021,3804372,3407410,3794965,
2021-01-07,3794001,4184604,3749352,4101108,
2021-01-08,4101108,4342055,3802000,4225304,
2021-01-09,4225266,4291000,4036286,4186509,
2021-01-10,4186509,4298693,3660050,3979170,
2021-01-11,3975000,3979255,3087389,3694473,
2021-01-12,3691706,3802415,3391124,3530466,
2021-01-13,3528567,3914704,3359460,3882383,
2021-01-14,3882383,4162760,3830000,4063030,
2021-01-15,4063031,4118358,3572600,3818830,
2021-01-16,3820074,3936735,3691780,3742517,
2021-01-17,3742517,3812689,3515471,3718340,
2021-01-18,3717500,3878300,3607559,3800000,
