coin,fundingRate,premium,time
BTC,0.00125,-0.0003265012,2026-01-12 15:00:00.059
BTC,0.00125,-0.0002326765,2026-01-12 16:00:00.040
BTC,0.00125,-0.0002911902,2026-01-12 17:00:00.086
BTC,0.0005211699999999999,-0.0004583066,2026-01-12 18:00:00.057
BTC,-0.00021590999999999998,-0.0005172725,2026-01-12 19:00:00.008
BTC,-0.00018426,-0.0005147408,2026-01-12 20:00:00.098
BTC,-0.00020593,-0.0005164744,2026-01-12 21:00:00.078
BTC,-0.00067,-0.0005536004,2026-01-12 22:00:00.075
BTC,-0.00093532,-0.0005748258,2026-01-12 23:00:00.024
BTC,-0.00072182,-0.0005577454,2026-01-13 00:00:00.109
BTC,-6.014e-05,-0.0005048111,2026-01-13 01:00:00.121
BTC,4.796e-05,-0.0004961629,2026-01-13 02:00:00.017
BTC,9.312e-05,-0.0004925505,2026-01-13 03:00:00.043
BTC,0.00013279,-0.0004893769,2026-01-13 04:00:00.068
BTC,0.0008848099999999999,-0.0004292148,2026-01-13 05:00:00.079
BTC,0.00125,-0.0002166283,2026-01-13 06:00:00.029
BTC,0.00125,-0.0000832548,2026-01-13 07:00:00.089
BTC,0.00125,-0.0000912911,2026-01-13 08:00:00.032
BTC,0.00125,-0.0000285802,2026-01-13 09:00:00.003
BTC,0.00125,0.0000200812,2026-01-13 10:00:00.232
BTC,0.00125,-0.0000601344,2026-01-13 11:00:00.011
BTC,0.00125,-0.0000519662,2026-01-13 12:00:00.032
BTC,0.00125,-0.0000261775,2026-01-13 13:00:00.083
BTC,0.00125,-0.0000175989,2026-01-13 14:00:00.043
BTC,0.00125,-0.0000700908,2026-01-13 15:00:00.051
BTC,0.00125,-0.0000931613,2026-01-13 16:00:00.100
BTC,0.00125,-0.0002859419,2026-01-13 17:00:00.039
BTC,0.00125,-0.0003349804,2026-01-13 18:00:00.042
BTC,0.00125,-0.0003976814,2026-01-13 19:00:00.031
BTC,0.00110475,-0.0004116203,2026-01-13 20:00:00.005
BTC,0.0006783000000000001,-0.0004457362,2026-01-13 21:00:00.017
BTC,-1.611e-05,-0.0005012892,2026-01-13 22:00:00.000
BTC,0.00125,-0.0003046659,2026-01-13 23:00:00.037
