coin,open_interest,funding_rate,oracle_price,mark_price,timestamp
BTC,18081.73558,4.4707e-06,68387.0,68359.0,2026-02-11T14:13:27.846075
ETH,514648.9673999997,7.6841e-06,1999.2,1998.2,2026-02-11T14:13:27.846098
ATOM,1398108.7599999998,1.25e-05,2.0015,1.9992,2026-02-11T14:13:27.846104
MATIC,0.0,0.0,0.3754,0.37621,2026-02-11T14:13:27.846108
DYDX,16398696.6,1.25e-05,0.10195,0.10179,2026-02-11T14:13:27.846113
SOL,3400647.3799999915,-1.34179e-05,82.67,82.613,2026-02-11T14:13:27.846117
AVAX,3415236.6200000006,1.25e-05,8.833,8.8346,2026-02-11T14:13:27.846129
BNB,42342.652,-1.50458e-05,609.35,609.05,2026-02-11T14:13:27.846133
APE,7034455.999999999,-5.3059e-06,0.12755,0.12745,2026-02-11T14:13:27.846137
OP,20360767.80000001,-1.23962e-05,0.1861,0.18587,2026-02-11T14:13:27.846140
LTC,288843.0,2.6206e-06,53.285,53.249,2026-02-11T14:13:27.846156
ARB,28888735.999999996,9.5681e-06,0.11265,0.11257,2026-02-11T14:13:27.846160
DOGE,185504914.0,-9.9929e-06,0.091835,0.091785,2026-02-11T14:13:27.846163
INJ,749059.4000000001,-1.8783e-05,3.113,3.1093,2026-02-11T14:13:27.846166
SUI,14773739.799999991,-2.8867e-06,0.92456,0.92405,2026-02-11T14:13:27.846169
kPEPE,2619200332.0,3.7445e-06,0.003709,0.003708,2026-02-11T14:13:27.846172
CRV,26033415.800000004,7.7211e-06,0.2401,0.23985,2026-02-11T14:13:27.846175
LDO,13074353.599999998,1.25e-05,0.34,0.33974,2026-02-11T14:13:27.846177
LINK,2197975.2000000007,1.25e-05,8.5237,8.5212,2026-02-11T14:13:27.846181
STX,3605538.9999999995,-2.63086e-05,0.2588,0.25827,2026-02-11T14:13:27.846184
RNDR,0.0,0.0,7.03,6.8952,2026-02-11T14:13:27.846187
CFX,7816790.0,-5.8037e-06,0.046005,0.045985,2026-02-11T14:13:27.846190
FTM,0.0,0.0,0.712,0.71688,2026-02-11T14:13:27.846193
GMX,54092.08,1.25e-05,6.12,6.1115,2026-02-11T14:13:27.846196
SNX,1933327.6,1.25e-05,0.2849,0.28421,2026-02-11T14:13:27.846199
XRP,56896910.0,6.242e-07,1.3977,1.3971,2026-02-11T14:13:27.846202
BCH,20780.26,1.25e-05,521.3,521.01,2026-02-11T14:13:27.846205
APT,6553725.5,-1.62822e-05,0.9902,0.9893,2026-02-11T14:13:27.846207
AAVE,200528.44,1.25e-05,112.97,112.97,2026-02-11T14:13:27.846210
COMP,39735.88,-5.72072e-05,16.54,16.508,2026-02-11T14:13:27.846213
MKR,0.0,0.0,1828.8,1831.5,2026-02-11T14:13:27.846216
WLD,20276788.999999996,7.081e-06,0.3778,0.37755,2026-02-11T14:13:27.846219
FXS,0.0,0.0,0.649,0.65538,2026-02-11T14:13:27.846222
HPOS,0.0,0.0,0.042203,0.041873,2026-02-11T14:13:27.846225
RLB,0.0,0.0,0.071068,0.071,2026-02-11T14:13:27.846228
UNIBOT,0.0,0.0,6.053,7.636,2026-02-11T14:13:27.846231
YGG,5081374.0,2.8409e-06,0.040175,0.040151,2026-02-11T14:13:27.846233
TRX,27300374.0,1.25e-05,0.27585,0.27574,2026-02-11T14:13:27.846236
kSHIB,389736196.0,1.475e-06,0.006013,0.006008,2026-02-11T14:13:27.846239
UNI,8688409.000000006,1.25e-05,4.364,4.3553,2026-02-11T14:13:27.846242
