coin,side,px,sz,time,hash,tid,users
BTC,B,68360.0,0.00389,1770819205708,0xa8ddcffa2c94696eaa5704351b29b002061900dfc79788404ca67b4ceb984359,790501863462122,"['0x58bbadd32ba95c73d1234975af5aa0e69380b1d0', '0xd72cfd2424e26ba32e46b7b2aff95eff34247a71']"
BTC,A,68359.0,0.00062,1770819205035,0x0000000000000000000000000000000000000000000000000000000000000000,580132129479460,"['0x1f1690074a8744e8d38cdca1ab2b75fafe5d6d07', '0x73f5a1855a2c3b8d0a96aca0b1d69b37e7f98b51']"
BTC,A,68359.0,0.02386,1770819204701,0x73c1f57ad6290713753b04351b29a2020fe00060712c25e5178aa0cd952ce0fe,402522817501031,"['0x1f1690074a8744e8d38cdca1ab2b75fafe5d6d07', '0xf5d81a135f756ca16544e53c20fc20643ec3ad53']"
BTC,B,68360.0,0.0002,1770819204435,0x3785073b467bc8c038fe04351b299f02097c0020e17ee792db4db28e057fa2aa,886858442128113,"['0xef3d048fc644f8cce5f1b46aee95c0f8987d02a7', '0x13558be785661958932ceac35ba20de187275a42']"
BTC,A,68359.0,0.05925,1770819204282,0x0de330f64e9d4f910f5c04351b299d0206d800dbe9906e63b1abdc490d91297b,316900380388377,"['0x1f1690074a8744e8d38cdca1ab2b75fafe5d6d07', '0xf5d81a135f756ca16544e53c20fc20643ec3ad53']"
BTC,B,68360.0,0.12024,1770819204197,0x1575aa92b9665c9a16ef04351b299c0202d2007854697b6cb93e55e5786a3684,798472270751337,"['0xcc61e89b8cf4778784093ca719dfd593c848015a', '0xd13d96f7b6bb6dd3ad865e23f1265e5885f1069c']"
BTC,B,68360.0,0.05199,1770819204197,0x1575aa92b9665c9a16ef04351b299c0202d2007854697b6cb93e55e5786a3684,753812348872015,"['0xcc61e89b8cf4778784093ca719dfd593c848015a', '0x0291639ea7178930475da17b579e1ac2de8faed8']"
BTC,A,68359.0,0.00875,1770819204043,0xbf4a4d9d821eecf6c0c404351b299a02041f00831d120bc86312f8f04112c6e1,481870297078130,"['0x1f1690074a8744e8d38cdca1ab2b75fafe5d6d07', '0x757050f790f8fbf289b334274b502a9159da3511']"
BTC,B,68360.0,0.02132,1770819203956,0xa89ab38285f5fcc9aa1404351b29990202d2006820f91b9b4c635ed544f9d6b4,642438567763905,"['0xe702c93bd5f183ba6279aadf4f47d18bcdb15484', '0x0291639ea7178930475da17b579e1ac2de8faed8']"
BTC,B,68365.0,0.00035,1770819203632,0x6a2b436c0edde0ca6ba404351b29940205690051a9d0ff9c0df3eebecdd1bab5,202186436803457,"['0x049e1923926bbb8d0de2f1e21bd9fdebbaf7345f', '0xc6ac58a7a63339898aeda32499a8238a46d88e84']"
