date,open,high,low,close,volume
2007-02-08,120.65,121.45,120.55,121.029999,
2007-02-09,121.029999,121.77,120.95,121.67,
2007-02-12,121.81,122.11,121.57,121.92,
2007-02-13,121.89,121.96,121.080002,121.11,
2007-02-14,121.14,121.39,120.61,120.74,
2007-02-15,120.76,120.82,119.15,119.18,
2007-02-16,119.19,119.58,118.96,119.36,
2007-02-19,119.39,119.75,119.2,119.56,
2007-02-20,119.52,120.36,119.51,119.97,
2007-02-21,119.96,121.19,119.69,120.94,
2007-02-22,120.87,121.64,120.81,121.53,
2007-02-23,121.54,121.64,120.91,121.050003,
2007-02-26,120.99,121.080002,120.33,120.58,
2007-02-27,120.59,120.77,117.48,117.95,
2007-02-28,117.97,118.82,117.86,118.45,
2007-03-01,118.52,118.87,116.94,117.61,
2007-03-02,117.51,117.84,116.4,116.89,
2007-03-05,116.66,116.79,115.13,115.68,
2007-03-06,115.53,116.75,115.2,116.52,
2007-03-07,116.55,116.92,115.96,116.080002,
2007-03-08,116.080002,117.5,115.53,117.13,
2007-03-09,117.11,118.39,117.010002,118.25,
2007-03-12,118.33,118.53,117.2,117.67,
2007-03-13,117.64,117.77,116.029999,116.089996,
2007-03-14,116.21,117.16,115.74,117.059998,
2007-03-15,117.059998,117.79,117.0,117.49,
2007-03-16,117.49,117.54,116.49,116.69,
2007-03-19,116.31,117.78,116.23,117.55,
2007-03-20,117.65,118.029999,116.9,117.28,
2007-03-21,117.25,117.97,117.14,117.61,
2007-03-22,117.52,118.34,117.22,118.099998,
2007-03-23,118.089996,118.26,117.38,118.089996,
2007-03-26,117.88,118.44,117.62,118.099998,
2007-03-27,118.080002,118.41,117.64,117.88,
2007-03-28,117.84,118.0,116.35,116.83,
2007-03-29,116.91,118.099998,116.65,118.059998,
2007-03-30,118.059998,118.4,117.19,117.79,
2007-04-02,117.51,118.080002,117.43,117.81,
2007-04-03,117.84,118.99,117.7,118.96,
2007-04-04,118.94,119.099998,118.53,118.64,
2007-04-05,118.66,119.010002,118.41,118.74,
2007-04-06,118.71,119.41,118.64,119.28,
2007-04-09,119.24,119.4,119.16,119.35,
2007-04-10,119.3,119.35,118.74,119.07,
2007-04-11,119.019997,119.56,118.85,119.38,
2007-04-12,119.33,119.53,118.78,119.15,
2007-04-13,119.11,119.57,118.19,119.26,
2007-04-16,119.41,119.89,118.96,119.75,
2007-04-17,119.75,119.84,118.8,118.93,
2007-04-18,118.89,119.029999,118.089996,118.59,
2007-04-19,118.46,118.61,117.59,118.45,
2007-04-20,118.45,118.98,118.23,118.72,
2007-04-23,118.7,119.059998,118.21,118.56,
2007-04-24,118.62,118.95,118.22,118.53,
2007-04-25,118.49,118.86,118.25,118.62,
2007-04-26,118.59,119.67,118.51,119.56,
2007-04-27,119.53,119.77,118.85,119.61,
2007-04-30,119.18,119.78,119.15,119.47,
2007-05-01,119.4,119.92,119.050003,119.75,
2007-05-02,119.72,120.33,119.54,120.17,
2007-05-03,120.19,120.49,119.95,120.39,
2007-05-04,120.4,120.48,119.89,120.18,
2007-05-07,120.099998,120.2,119.77,120.080002,
2007-05-08,120.080002,120.14,119.5,120.0,
2007-05-09,119.95,120.16,119.61,120.029999,
2007-05-10,120.040001,120.56,119.73,119.93,
2007-05-11,119.81,120.27,119.44,120.27,
2007-05-14,120.18,120.47,120.019997,120.38,
2007-05-15,120.38,120.58,120.099998,120.23,
2007-05-16,120.21,120.84,120.14,120.78,
2007-05-17,120.78,121.38,120.65,121.25,
2007-05-18,121.23,121.4,120.67,121.11,
2007-05-21,121.12,121.66,121.040001,121.47,
2007-05-22,121.48,121.62,121.18,121.52,
2007-05-23,121.51,121.89,121.29,121.61,
2007-05-24,121.59,121.71,121.22,121.38,
2007-05-25,121.42,121.89,120.83,121.77,
2007-05-28,121.77,121.83,121.53,121.69,
2007-05-29,121.66,121.84,121.15,121.66,
2007-05-30,121.67,121.81,121.27,121.65,
2007-05-31,121.65,122.0,121.43,121.73,
2007-06-01,121.73,122.15,121.67,122.059998,
2007-06-04,122.040001,122.12,121.52,121.72,
2007-06-05,121.69,121.95,121.099998,121.39,
2007-06-06,121.36,121.5,120.86,121.07,
2007-06-07,121.059998,121.58,120.76,121.0,
2007-06-08,120.9,121.84,120.75,121.72,
2007-06-11,121.72,121.85,121.48,121.72,
2007-06-12,121.66,121.89,121.57,121.67,
2007-06-13,121.65,122.78,121.47,122.67,
2007-06-14,122.61,123.14,122.52,122.9,
2007-06-15,122.94,123.67,122.89,123.44,
2007-06-18,123.47,123.78,123.29,123.64,
2007-06-19,123.62,123.74,123.29,123.37,
2007-06-20,123.35,123.7,123.080002,123.47,
2007-06-21,123.49,123.79,123.41,123.72,
